Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tambah Logbook,Chrome 115.0.0.0,,,2023-08-03 16:41:19,2023-08-03 16:41:42,23.011s,PASSED
,,,,,,,
Test Cases/Login/TCLogin_Positive,Chrome 115.0.0.0,,,2023-08-03 16:41:20,2023-08-03 16:41:29,8.743s,PASSED
openWebDriver(),Chrome 115.0.0.0,,,2023-08-03 16:41:21,2023-08-03 16:41:25,3.768s,PASSED
"navigateToUrl(""http://103.180.125.58:8080/#/login"")",Chrome 115.0.0.0,,,2023-08-03 16:41:25,2023-08-03 16:41:26,1.741s,PASSED
"setText(findTestObject(""login/username_object""), ""dianaslama"")",Chrome 115.0.0.0,,,2023-08-03 16:41:26,2023-08-03 16:41:27,0.981s,PASSED
"setText(findTestObject(""login/password_object""), ""dianaslama"")",Chrome 115.0.0.0,,,2023-08-03 16:41:27,2023-08-03 16:41:28,0.738s,PASSED
"click(findTestObject(""login/button_object""))",Chrome 115.0.0.0,,,2023-08-03 16:41:28,2023-08-03 16:41:29,0.411s,PASSED
,,,,,,,
Test Cases/Logbook/001 Capaian Negative,Chrome 115.0.0.0,,,2023-08-03 16:41:29,2023-08-03 16:41:42,13.840s,PASSED
"click(findTestObject(""tambahlogbook/button_Tambah Logbook""))",Chrome 115.0.0.0,,,2023-08-03 16:41:29,2023-08-03 16:41:30,0.410s,PASSED
"inputFieldmulai = waitForElementVisible(findTestObject(""tambahlogbook/input_Jam Mulai""), 30)",Chrome 115.0.0.0,,,2023-08-03 16:41:30,2023-08-03 16:41:30,0.676s,PASSED
"inputFieldselesai = waitForElementVisible(findTestObject(""tambahlogbook/input_Jam Selesai""), 30)",Chrome 115.0.0.0,,,2023-08-03 16:41:30,2023-08-03 16:41:31,0.396s,PASSED
"executeJavaScript(""arguments[0].value = '13:00';"", Arrays.asList(inputFieldmulai))",Chrome 115.0.0.0,,,2023-08-03 16:41:31,2023-08-03 16:41:31,0.039s,PASSED
"executeJavaScript(""arguments[0].value = '04:00';"", Arrays.asList(inputFieldselesai))",Chrome 115.0.0.0,,,2023-08-03 16:41:31,2023-08-03 16:41:31,0.023s,PASSED
"setText(findTestObject(""tambahlogbook/input_Tanggal""), ""01/07/2023"")",Chrome 115.0.0.0,,,2023-08-03 16:41:31,2023-08-03 16:41:32,0.951s,PASSED
"setText(findTestObject(""tambahlogbook/input_Jam Mulai""), ""13:00 "")",Chrome 115.0.0.0,,,2023-08-03 16:41:32,2023-08-03 16:41:33,0.889s,PASSED
"setText(findTestObject(""tambahlogbook/input_Jam Selesai""), ""03:00"")",Chrome 115.0.0.0,,,2023-08-03 16:41:33,2023-08-03 16:41:34,1.090s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Mode Kerja""), ""WFO"", false)",Chrome 115.0.0.0,,,2023-08-03 16:41:34,2023-08-03 16:41:34,0.706s,PASSED
"setText(findTestObject(""tambahlogbook/input_Project""), ""HRSV Dashboard"")",Chrome 115.0.0.0,,,2023-08-03 16:41:34,2023-08-03 16:41:35,0.847s,PASSED
"setText(findTestObject(""tambahlogbook/input_Nama Tim""), ""HRSV Team"")",Chrome 115.0.0.0,,,2023-08-03 16:41:35,2023-08-03 16:41:36,0.751s,PASSED
"setText(findTestObject(""tambahlogbook/input_Use Case""), ""Tambah Logbook"")",Chrome 115.0.0.0,,,2023-08-03 16:41:36,2023-08-03 16:41:37,0.800s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Kegiatan""), ""Searching Materi"", false)",Chrome 115.0.0.0,,,2023-08-03 16:41:37,2023-08-03 16:41:38,0.683s,PASSED
"setText(findTestObject(""tambahlogbook/input_Hasil""), ""300"")",Chrome 115.0.0.0,,,2023-08-03 16:41:38,2023-08-03 16:41:38,0.832s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Next Step""), ""Pause"", false)",Chrome 115.0.0.0,,,2023-08-03 16:41:38,2023-08-03 16:41:39,0.715s,PASSED
"setText(findTestObject(""tambahlogbook/input_PathFilename""), ""testfilepath"")",Chrome 115.0.0.0,,,2023-08-03 16:41:39,2023-08-03 16:41:40,0.746s,PASSED
"setText(findTestObject(""tambahlogbook/input_Detail Pekerjaan""), ""test case detail pekerjaan"")",Chrome 115.0.0.0,,,2023-08-03 16:41:40,2023-08-03 16:41:41,0.956s,PASSED
"selectOptionByValue(findTestObject(""tambahlogbook/input_Waktu Kerja""), ""Jam Normal"", false)",Chrome 115.0.0.0,,,2023-08-03 16:41:41,2023-08-03 16:41:42,1.187s,PASSED
"click(findTestObject(""tambahlogbook/button_Submit""))",Chrome 115.0.0.0,,,2023-08-03 16:41:42,2023-08-03 16:41:42,0.461s,PASSED
